SNO,PART No.,DESCRIPTION,HSN,MRP,QTY,DISC SGST,CGST,Rate,AMOUNT,Selling Price
2,HA51C,ACTIVA AIR FILTER,,195,3,9,9,195,585,195
3,KB52DM,DISCOVER AIR FILTER,,210,3,9,9,210,630,210
4,HHO3,SPL+ DAMPER RUBBER,,48,5,9,9,48,240,48
5,HS03,SHINE/STUNNER DAMBER RUBBER,,81,5,9,9,81,405,81
6,IS083,STARCITY DAMBER RUBBER,,102,5,9,9,102,510,102
7,RX03,RX 100/FZ DAMBER RUBBER,,83,3,9,9,83,249,83
8,KB43C,PLUSUE/ CROM FORK BOOT RUBBER,,90,5,9,9,90,450,90
9,KB51P,PULSAR AIR FILTER,,39,5,9,9,39,195,39
10,KB05P,PLATINA / DIS / PULSAER 3 DAMPER RUBBR,,105,2,9,9,105,210,105
11,KB05D,DISCOVER DAMPER RUBBER,,105,3,9,9,105,315,105
12,HH51P,PLEASURE AIR FILTER,,90,5,9,9,90,450,90
13,HA51A,OLD MODEL ACTIVA AIR FILTER,,115,3,9,9,115,345,115
14,HA51,NEW MODEL ACTIVA AIR FILTER,,120,3,9,9,120,360,120
15,HH5255,SUPER SPLENDOR AIR FILTER ,,90,2,9,9,90,180,90
16,HU51,UNICORN AIR FILTER,,90,2,9,9,90,180,90
17,KB52D,PU TYPE DISCOVER ST - NEW MODEL,,210,5,9,9,210,1050,210
18,HS51,SHINE AIR FILTER,,90,2,9,9,90,180,90
19,HT51,TWISTER AIR FILTER,,105,23,9,9,105,2415,105
20,HU33,UNICORN DAMPER RUBBER,,105,2,9,9,105,210,105
21,4782,SCOOTY PEP FUEL GAUGE,,235,1,9,9,235,235,235
22,7092,SPL + METER TOP COVER,,131,1,9,9,131,131,131
23,10673,PASSION PRO FUEAL GAUGE,,301,1,9,9,301,301,301
24,HH90-2,SPELNDER CAMCHAIN ROLLER,,385,11,9,9,385,4235,385
25,HA72,ACTIVA AIR FILTER FOAM,,560,10,9,9,560,5600,560
26,4719,FUEL GAUGE SPLENDER+ ,,243,1,9,9,243,243,243
27,10091,TOP COVER PEP+ ,,108,2,9,9,108,216,108
28,14401AAD000993,CAMCHAIN 100CC,,105,3,9,9,105,315,105
29,M-214-PIE-NM,PLEASURE MIRROR,,135,2,9,9,135,270,135
30,M-215-PIE-MO,APACHE,,168,2,9,9,168,336,168
31,M-216-PIE-DO,PASSION PRO ,,158,2,9,9,158,316,158
32,M-217-HIE-BO,NEW ACTIVA,,196,2,9,9,196,392,196
33,M-218-OIE-FD,PLUSUE (DTS-I),,170,1,9,9,170,170,170
34,M-219-FIE-MD,STARCITY,,160,1,9,9,160,160,160
35,2 AMS LED,SIDE LED 2 AMPS,,280,5,9,9,280,1400,280
36,3 AMS LED,SIDE LED 3 AMPS,,340,5,9,9,340,1700,340
37,4 AMS LED,YELLOW LED,,350,2,9,9,350,700,350
38,5 AMS LED,SIDE LED 5 AMPS,,250,2,9,9,250,500,250
39,6 AMS LED,LED SIDE 6 AMPS,,190,12,9,9,190,2280,190
40,7 AMS LED,LED SIDE 7 AMPS,,200,3,9,9,200,600,200
41,8 AMS LED,LED BULB SPARK LAMP,,40,55,9,9,40,2200,40
42,HH03S,SUPER SPLENDOR WHEEL RUBBER,,5035,53,9,9,5035,266855,5035
43,RX03A,CRUX/XBX YAMAHA WHEEL RUBBER,,83,12,9,9,83,996,83
44,HH33,CBZ WHEEL RUBBER,,105,9,9,9,105,945,105
45,TV0,XL WHEEL RUBBER,,75,8,9,9,75,600,75
46,HA62,AIR FILTER AVIATOR,,165,5,9,9,165,825,165
47,HD51,HONDA DAZZLER,,90,18,9,9,90,1620,90
48,HH03H,CD DELUX WHEEL RUBBER,,1440,30,9,9,1440,43200,1440
49,TV03,RUBBER WHEEL,,70,9,9,9,70,630,70
50,RX93,RUBBER WHEEL X 100,,660,20,9,9,660,13200,660
51,1048-A,BRAKECAM ACTIVA,,120,5,9,9,120,600,120
52,5539-S,BRAKECAM SUPER SPLENDOR,,120,3,9,9,120,360,120
53,5539-XP,BRAKECAM X PRO,,93,3,9,9,93,279,93
54,5542-S,SUPER SPLENDOR/CBZ,,120,2,9,9,120,240,120
55,5539-PP,PASSION PRO (BREAK CAM),,120,3,9,9,120,360,120
56,5539,BRAKECAM SPLENDOR,,110,2,9,9,110,220,110
57,4015-S,REAR BRAKECAM,,130,2,9,9,130,260,130
58,5828-EX,EXTEME/HUNK/STANNER BRAKECAM,,140,2,9,9,140,280,140
59,7615,STARCITY BRAKECAM,,120,2,9,9,120,240,120
60,7615,APACHE RTR BRAKECAM,,120,2,9,9,120,240,120
61,8519,STARCITY/CENTRA BRAKECAM,,93,2,9,9,93,186,93
62,7915,BRAKECAM PULSAR,,100,2,9,9,100,200,100
63,6917,BRAKECAM CT-100,,110,2,9,9,110,220,110
64,5539-DY,DREAM YUGA BRAKE CAM,,85,1,9,9,85,85,85
65,4018-S,FRONT BRAKECAM SHINE,,93,1,9,9,93,93,93
66,5541-G,GLAMOUR SLUNNER CHAIN ADJURST,,66,4,9,9,66,264,66
67,5224,CHAIN ADJUSTER STAR SPORTS+ SUZUKI,,40,2,9,9,40,80,40
68,7631SC,CHAIN ADJUSTER GLX/ STAR CITY/ APACHRE RTR,,66,4,9,9,66,264,66
69,7940-ST,DISCOVER - ST CHAIN ADJUSTER,,62,2,9,9,62,124,62
70,7940,DISCOVER - DTSI - CHAIN ADJUSTER,,66,1,9,9,66,66,66
71,5225,STAR SPORTS/ SUZUKI,,40,1,9,9,40,40,40
72,5540-XP,CHAIN ADJUSTER PASSION X PRO,,66,4,9,9,66,264,66
73,5540-H,CHAIN ADJUSTER HUNK/ KARIZMA/ X MEME,,120,3,9,9,120,360,120
74,5540,CHAIN ADJUSTER HERO HONDA,,130,13,9,9,130,1690,130
75,7433,CHAIN ADJUSTNEW/ OLD/ NEW/ PLATINA 125 CC,,131,14,9,9,131,1834,131
76,4021-S,CHAIN ADJUSTSHINE,,131,10,9,9,131,1310,131
77,6232,CHAIN ADJUST RX100 SMALL HOLE,,200,5,9,9,200,1000,200
78,7939,DISCOVER CHAIN ADJUSTER,,66,3,9,9,66,198,66
79,TR-414,TUBE MOUTH BIKE,,2000,50,9,9,2000,100000,2000
80,PVR-70,MOUTH SCOOTER,,2500,,9,9,2500,0,2500
81,RI100,RIM 100CC,,20,10,9,9,20,200,20
,TAPX10,TAPE XL,,30,20,9,9,30,600,30
82,HA50,ACTIVA OLD MODEL,,180,2,9,9,180,360,180
83,HH50P,PLEASURE,,135,2,9,9,135,270,135
84,SA50N,SUZUKI ACCESS,,155,2,9,9,155,310,155
85,HH50M,MAESHO,,155,1,9,9,155,155,155
86,TX50P,SCOOTY PEP +,,165,1,9,9,165,165,165
87,HA50D,HONDA - DIO,,170,1,9,9,170,170,170
88,UHLV122A,MAESTRO EDGE RED,,480,2,9,9,480,960,480
89,UHLV126,ACTIVA 5G WHITE,,450,1,9,9,450,450,450
90,HLV045D,ACTIVA 5G TRANCE BLUE,,450,1,9,9,450,450,450
91,UHLV126,ACTIVA  5G BROWN,,450,1,9,9,450,450,450
92,HLV045D,ACTIVA 5G GOLDEN,,450,1,9,9,450,450,450
93,UHLV126,ACTIVA 5G SILENCE SILVER,,450,1,9,9,450,450,450
94,UHLV125,ACTIVA WHITE,,1156,4,9,9,1156,4624,1156
95,SAFAR1,BLACK SIDE BOX,,700,1,9,9,700,700,700
96,TRENDY,SIDE BOX RED,,495,1,9,9,495,495,495
97,FRAME DOUBLE,JET SIDE BOX,,740,2,9,9,740,1480,740
98,KB63S,OIL FILTER PULSAR/BOXER,,250,10,9,9,250,2500,250
99,RE53,OILFILTER 350CC,,30,10,9,9,30,300,30
100,UF37,MUDCUARD FLAP,,16,5,9,9,16,80,16
101,NAJ0465,REFLEETOR SPLENDOR,,26,4,9,9,26,104,26
102,HH20C,CLUTH REPAIR KIT CBZ,,40,5,9,9,40,200,40
103,HH20C,CLUTH REPAIR KIT HONDA,,35,5,9,9,35,175,35
104,RR001,RR END MUDCUARD XL,,50,3,9,9,50,150,50
105,HH001,"HALF HELMAT (TIZZY-3, RIYNO-3)",,5600,14,9,9,5600,78400,5600
106,FF002,FRONT FACE HELMAT,,7500,15,9,9,7500,112500,7500
107,FD001,FRONT DOOR M.EDGE - GRAY,,667,1,9,9,667,667,667
108,FMB003,FRONT DOOR M.EDGE - BLACK,,667,1,9,9,667,667,667
109,UFN002,FRONT DOOR M.EDGE.- BLACK,,456,2,9,9,456,912,456
110,SAI-63,SAI - FR MUDGUARD BK SPLENDOR ,,407,5,9,9,407,2035,407
111,SAI-81A,SAI-H.L.VISIOR BK BLUE SPLENDOR PLUS,,370,4,9,9,370,1480,370
112,SAI-186B,SAI-H.L.VISIOR DIGITAL BK/GREY,,706,3,9,9,706,2118,706
113,UBF-101,EXP-FR.MUDGUARD BK PASSION,,395,6,9,9,395,2370,395
114,UBV-101,EXP-H.L.VISOR BK SPL+/SPL N/M,,321,8,9,9,321,2568,321
115,UBF-106,EXP-FRONT MUDGUARD BK GLAMOUR,,430,3,9,9,430,1290,430
116,UBV-114,EXP-H.L.VISOR (RED/BK) PASSION PRO,,695,6,9,9,695,4170,695
117,NAJ1014,NAP-STICKER H.L.FIRING BK/SIL,,67,5,9,9,67,335,67
118,KT-2261Z,MINDA-LOCK KIT SHINE,,670,2,9,9,670,1340,670
119,KT-2166DZ,MINDA-LOCK SET ACTIVA 110 (COM),,640,2,9,9,640,1280,640
120,KT-2069EZ,MINDA-LOCK KIT (SET-6) SPL-PLU,,633,3,9,9,633,1899,633
121,KT-2069JZ,MINDA-LOCK KIT GLAMOUR,,808,2,9,9,808,1616,808
122,KT-2069GZ,MINDA-LOCK KIT PASSION PRO,,766,3,9,9,766,2298,766
123,SLD-182,SLD-LOCK SET SUPER SPLENDOR,,625,2,9,9,625,1250,625
124,2T,ENGINE OIL,,13,75,9,9,13,975,13
125,2T001,SEMI SYNTHETIC,,17,50,9,9,17,850,17
126,AAG-ACS-002,ACCESS GASCUT HALF KIT,,79,4,9,9,79,316,79
127,AAG-UCN-002A,UNICOR - GASCUT HALF,,53,3,9,9,53,159,53
128,AAG-YFZ-003,YAMAHA R15 HALF KIT GASCUT,,92,5,9,9,92,460,92
129,AAA-AMB-002,HALF AMBIT10W,,49,4,9,9,49,196,49
130,AAG-WEG-002,HALF KIT TVS WEGO,,60,2,9,9,60,120,60
131,AAG-OTS-002B,DISCOVER OLD (HALF),,49,3,9,9,49,147,49
132,AAA-JIV-002,HALF KIT TVS - JIVE,,44,4,9,9,44,176,44
133,AAG-BCT-002,BAJAJ - PLATINA CT-100 HALF,,44,2,9,9,44,88,44
134,AAA-LIB-002,YAMAHA LIBERO HALF,,42,4,9,9,42,168,42
135,AAG-ACT-003,HALF KIT ACTIVA/PLEASURE,,44,4,9,9,44,176,44
136,AAG-CBR-007,HALF KIT BOXER,,44,4,9,9,44,176,44
137,AAG-STR-002A,STAR CITY-110 STAR SPOA,,51,4,9,9,51,204,51
138,AAG-SUZ-006,SUZUKI GOLD,,38,4,9,9,38,152,38
139,AAA-CEN-002,TVS CENTRA,,46,4,9,9,46,184,46
140,AAA-XRX-007,YAMAHA RXG HALF,,64,1,9,9,64,64,64
141,AAA-PNV-002,TVS-PHOENIX HALF,,49,3,9,9,49,147,49
142,AAG--VTR-002,VICTOR HALF KIT,,46,4,9,9,46,184,46
143,AAA-PEP-002A,HALF KIT SCOOTY PEP,,46,3,9,9,46,138,46
144,AAA-XBX-004,XBX/FAZER/GLADIATOR,,44,4,9,9,44,176,44
145,AAG-HET-003A,ACTIVA 125,,49,3,9,9,49,147,49
146,AAG-UCN-002,UNICORN - VIREME DAZLAR,,51,4,9,9,51,204,51
147,AAA-HH-004B,SPLENDER  PLY HALF,,66,2,9,9,66,132,66
148,AAG-PUL-003A,PULSAR-135 XCD DISCOVER,,49,3,9,9,49,147,49
149,AAG-XCD-002,PLANNA-125 HALF KIT,,49,5,9,9,49,245,49
150,AAG-K43-004,KB-48 BLUE GOLD,,42,4,9,9,42,168,42
151,AAA-FLM-002,TVS FLAME,,49,4,9,9,49,196,49
152,AAA-YRV-007,HALF KIT YAMAHA RXG-135,,64,4,9,9,64,256,64
153,AAG-WEG-002,TVS JUPITER TVS WEGA,,60,2,9,9,60,120,60
154,AAG-YRZ-007,YAMAHA FZ-16,,93,3,9,9,93,279,93
155,AAG-TWS-002,HONDA TWISTER,,53,2,9,9,53,106,53
156,AAG-DTS-002A,DISCOVER-100CC BLUE,,49,4,9,9,49,196,49
157,AAG-SIN-002,SHINE / ACHINER,,51,2,9,9,51,102,51
158,AAG-PUL-004A,PULSAR 220CC,,49,1,9,9,49,49,49
159,AAG-RAY-002,YAMAHA  RAY,,79,2,9,9,79,158,79
160,AAG-ACT-003A,ACTIVA - 110/ AVIATOR,,44,4,9,9,44,176,44
161,AAG-OTS-002B,DISCOVER 125/135,,49,3,9,9,49,147,49
162,AAA-CRX-002,YAMAHA CRUX,,44,3,9,9,44,132,44
163,04848529W,BATTERY WIRE CLAM,,1.5,150,9,9,1.5,225,1.5
164,2051T,BALL RACER PASSION PLUS,,198,1,9,9,198,198,198
165,3153K,BALLRACER DISCOVER 100CC,,220,1,9,9,220,220,220
166,2146A,SHINE RACER,,280,2,9,9,280,560,280
167,2051K,SHINE RACER,,200,2,9,9,200,400,200
168,HON91,UNICORN RACER,,280,2,9,9,280,560,280
169,2051N,BALLRACER PASSION PRO,,280,2,9,9,280,560,280
170,25141,STAR CITY BALL RACER,,220,2,9,9,220,440,220
171,2146D,SPLENDER SMART BALLRACER,,280,2,9,9,280,560,280
172,3009,RX100 BALL RACER,,198,1,9,9,198,198,198
173,3009A,CRUX BALLRACER,,198,1,9,9,198,198,198
174,5055A,TVS XL,,198,1,9,9,198,198,198
175,2514,AX100 BALL RACER,,198,1,9,9,198,198,198
176,2146,PASSION XPRO (BALL RACER),,280,1,9,9,280,280,280
177,HON142,HONDA CB TWISTER,,280,1,9,9,280,280,280
178,54BF721110,BREAK PEDAL,,140,1,9,9,140,140,140
179,54BE471800,PROTECTOR MUFF ,,210,1,9,9,210,210,210
180,2PYH431000,H.L.ASSAY,,830,1,9,9,830,830,830
181,1PMH392200,LEVER 2,,125,1,9,9,125,125,125
182,21CF15110033,FENDER FROM,,660,1,9,9,660,660,660
183,2PYF61110000,HANDLE BAR YAMAHA,,229,1,9,9,229,229,229
184,54BF31100000,INNER TUBE,,930,2,9,9,930,1860,930
185,54BF74210000,FOOT REST,,262,1,9,9,262,262,262
186,54BF741300,FOOT REST COVER,,50,1,9,9,50,50,50
187,54BXF835200,PANEL ASSY SZ,,225,1,9,9,225,225,225
188,K3100330,OIL SEAL,,57,6,9,9,57,342,57
189,HRS-504,PLEASURE SILENCER,,144,3,9,9,144,432,144
190,HRS-946,PLEASURE SILENCER,,132,3,9,9,132,396,132
191,95121286,ACTIVA 110 RR FO,,77,2,9,9,77,154,77
192,94210101,ACTIVA  REAR FOOT,,64,2,9,9,64,128,64
193,95121287,ACTIVA 110 REAR,,79,2,9,9,79,158,79
194,4557,ACTIVA S.M. DRIVE SET,,30,5,9,9,30,150,30
195,4557A,ACTIVA N/M S.M DRIV,,32,5,9,9,32,160,32
196,SP-5177A,ACTIVA SIL GUARD,,150,2,9,9,150,300,150
197,2944510021,ACTIVA SIL GUA,,140,5,9,9,140,700,140
198,94210102,ACTIVA FOOT REST,,65,2,9,9,65,130,65
199,D 03542,PLEASURE S.M DRIV,,28,10,9,9,28,280,28
200,AAA-PEP-006,PEP GEAR BOX,,15,10,9,9,15,150,15
201,2945714009,SUZUKI S.M DRI,,87,7,9,9,87,609,87
202,1444F,SUPER SPL S.M DRIVE SET,,82,10,9,9,82,820,82
203,HRD 473,S.M DRIVE SET SPL,,20,10,9,9,20,200,20
204,AAA-ACT 009,ACTIVA MAG GA,,12,10,9,9,12,120,12
205,AAA-ACT 015,ACTIVA GEAR BOX,,18,10,9,9,18,180,18
206,AN-ABS/HHR/6,SPL FR/ HUNK,,154,5,9,9,154,770,154
207,AN-ABS/YFZ/61,FZ BRAKE SH,,261,2,9,9,261,522,261
208,AN-ABS/HAS/6,ACTIVA/SUP.SPLENDOR,,168,10,9,9,168,1680,168
209,434922073,PLEASURE FOOT,,538,3,9,9,538,1614,538
210,MP94210105,LADIES FOOTERS,,475,2,9,9,475,950,475
211,SHH0322-ACC,CABLE PLEASURE,,170,5,9,9,170,850,170
212,SHM0320,ACT 110 ACC CABLE,,210,10,9,9,210,2100,210
213,UR4AC-N/R-UR4AC,MICO PLUS,,82,20,9,9,82,1640,82
214,LSM26025166,ACTIVA 102CC ,,678,2,9,9,678,1356,678
215,SW-0519AL,PASSION PRO REAR BRAK,,44,8,9,9,44,352,44
216,2944510067,ACTIVA SHIELD,,5,50,9,9,5,250,5
217,HLL001,HEAD LIGHT LED,,1600,5,9,9,1600,8000,1600
218,SAF002,SOUND AIRFILTER,,450,55,9,9,450,24750,450
219,CHCL003,CHAIN CLEANER,,740,4,9,9,740,2960,740
220,MEG004,M.EDGE-GRAY,,556,1,9,9,556,556,556
221,MME005,M.EDGE-MAT BLUE,,556,1,9,9,556,556,556
222,MABL006,MAESHO - BLUE,,445,3,9,9,445,1335,445
223,MW007,MAESHO - WHITE,,445,1,9,9,445,445,445
224,MB008,MAESHO-BLACK,,445,1,9,9,445,445,445
225,FDMB009,FRONT DOOR M.EDGE MATT BLUE,,667,2,9,9,667,1334,667
226,MS010,F.DOOR M.EDGE MAT SILVER,,778,1,9,9,778,778,778
227,MEWH011,F.DOOR M.EDGE WHITE,,667,1,9,9,667,667,667
228,FMBL012,F.DOOR M.EDGE BLUE,,667,1,9,9,667,667,667
229,CHLC020,CHAIN CLEANER,,1100,10,9,9,1100,11000,1100
230,PO1010,POLISH,,380,4,9,9,380,1520,380
231,FU1501,FUSE 15 AMPS,,4,25,9,9,4,100,4
232,FU1002,FUSE 10 AMPS,,4,25,9,9,4,100,4
233,FU05,FUSE 5 AMPS,,4,25,9,9,4,100,4
234,FU3503,FUSE 35 AMPS,,4,25,9,9,4,100,4
235,FU2504,FUSEE 25 AMPS,,4,25,9,9,4,100,4
236,FU3005,FUSE 30 AMPS,,4,30,9,9,4,120,4
237,HELM006,HELMAT LOCK,,320,4,9,9,320,1280,320
238,HB009,HANDLE BAR,,1170,3,9,9,1170,3510,1170
239,BUB101,BUMBER ,,350,2,9,9,350,700,350
